Department,Category,Month,Budget,Actual,Currency
Sales,Operating Expenses,Nov 2023,147596,172520,USD
Sales,Operating Expenses,Dec 2023,138966,128132,USD
Sales,Operating Expenses,Jan 2024,145978,119387,USD
Sales,Operating Expenses,Feb 2024,162642,179731,USD
Sales,Operating Expenses,Mar 2024,83039,67537,USD
Sales,Operating Expenses,Apr 2024,91162,109599,USD
Sales,Operating Expenses,May 2024,74923,83802,USD
Sales,Operating Expenses,Jun 2024,103713,91638,USD
Sales,Operating Expenses,Jul 2024,78101,87371,USD
Sales,Operating Expenses,Aug 2024,104358,130427,USD
Sales,Operating Expenses,Sep 2024,184312,205023,USD
Sales,Operating Expenses,Oct 2024,174151,160749,USD
Sales,Operating Expenses,Nov 2024,127968,128063,USD
Sales,Operating Expenses,Dec 2024,162264,146322,USD
Sales,Other Income,Jan 2022,189272,223619,USD
Sales,Other Income,Feb 2022,157584,128524,USD
Sales,Other Income,Mar 2022,151023,172672,USD
Sales,Other Income,Apr 2022,83025,97953,USD
Sales,Other Income,May 2022,136149,165457,USD
Sales,Other Income,Jun 2022,182198,175470,USD
Sales,Other Income,Jul 2022,94973,108321,USD
Sales,Other Income,Aug 2022,89706,92379,USD
Sales,Other Income,Sep 2022,143303,156663,USD
Sales,Other Income,Oct 2022,152548,138499,USD
Sales,Other Income,Nov 2022,67478,54145,USD
Sales,Other Income,Dec 2022,136078,109011,USD
Sales,Other Income,Jan 2023,192572,155646,USD
Sales,Other Income,Feb 2023,117686,126868,USD
Sales,Other Income,Mar 2023,188051,216069,USD
Sales,Other Income,Apr 2023,159929,145547,USD
Sales,Other Income,May 2023,122569,146926,USD
Sales,Other Income,Jun 2023,195628,228167,USD
Sales,Other Income,Jul 2023,107306,108577,USD
Sales,Other Income,Aug 2023,151960,116992,USD
Sales,Other Income,Sep 2023,69325,61727,USD
Sales,Other Income,Oct 2023,150119,148287,USD
Sales,Other Income,Nov 2023,190796,233966,USD
Sales,Other Income,Dec 2023,168780,171754,USD
Sales,Other Income,Jan 2024,185052,191684,USD
Sales,Other Income,Feb 2024,126398,113002,USD
Sales,Other Income,Mar 2024,156300,143472,USD
Sales,Other Income,Apr 2024,65885,62960,USD
Sales,Other Income,May 2024,68108,74595,USD
Sales,Other Income,Jun 2024,116912,123585,USD
Sales,Other Income,Jul 2024,187106,174851,USD
Sales,Other Income,Aug 2024,155347,177321,USD
Sales,Other Income,Sep 2024,86701,91437,USD
Sales,Other Income,Oct 2024,185850,231021,USD
Sales,Other Income,Nov 2024,75099,86867,USD
Sales,Other Income,Dec 2024,166899,173692,USD
Marketing,Revenue,Jan 2022,469449,461092,USD
Marketing,Revenue,Feb 2022,584718,552759,USD
Marketing,Revenue,Mar 2022,362196,294294,USD
Marketing,Revenue,Apr 2022,305642,260944,USD
Marketing,Revenue,May 2022,596822,702134,USD
Marketing,Revenue,Jun 2022,360054,324330,USD
Marketing,Revenue,Jul 2022,591594,550719,USD
Marketing,Revenue,Aug 2022,317214,262141,USD
Marketing,Revenue,Sep 2022,420395,434459,USD
Marketing,Revenue,Oct 2022,544652,471117,USD
Marketing,Revenue,Nov 2022,515456,577271,USD
Marketing,Revenue,Dec 2022,472920,378821,USD
Marketing,Revenue,Jan 2023,414280,514845,USD
Marketing,Revenue,Feb 2023,436343,439794,USD
Marketing,Revenue,Mar 2023,447306,347032,USD
Marketing,Revenue,Apr 2023,376844,368285,USD
Marketing,Revenue,May 2023,493741,585411,USD
Marketing,Revenue,Jun 2023,385713,342569,USD
Marketing,Revenue,Jul 2023,435034,425495,USD
Marketing,Revenue,Aug 2023,317852,258145,USD
Marketing,Revenue,Sep 2023,386791,442057,USD
Marketing,Revenue,Oct 2023,578050,560570,USD
Marketing,Revenue,Nov 2023,518572,549337,USD
Marketing,Revenue,Dec 2023,556344,482076,USD
Marketing,Revenue,Jan 2024,572902,451684,USD
Marketing,Revenue,Feb 2024,553459,529816,USD
Marketing,Revenue,Mar 2024,441659,526575,USD
Marketing,Revenue,Apr 2024,587335,683300,USD
Marketing,Revenue,May 2024,323208,331026,USD
Marketing,Revenue,Jun 2024,351080,420838,USD
Marketing,Revenue,Jul 2024,505144,528462,USD
Marketing,Revenue,Aug 2024,401813,303116,USD
Marketing,Revenue,Sep 2024,420213,477558,USD
Marketing,Revenue,Oct 2024,573799,502685,USD
Marketing,Revenue,Nov 2024,411195,422605,USD
Marketing,Revenue,Dec 2024,374605,369094,USD
Marketing,COGS,Jan 2022,137341,167986,USD
Marketing,COGS,Feb 2022,115418,113816,USD
Marketing,COGS,Mar 2022,170449,187280,USD
Marketing,COGS,Apr 2022,119005,107983,USD
Marketing,COGS,May 2022,78807,83879,USD
Marketing,COGS,Jun 2022,79151,91490,USD
Marketing,COGS,Jul 2022,112525,138851,USD
Marketing,COGS,Aug 2022,192480,235189,USD
Marketing,COGS,Sep 2022,99689,109020,USD
Marketing,COGS,Oct 2022,100377,75404,USD
Marketing,COGS,Nov 2022,109101,115612,USD
Marketing,COGS,Dec 2022,147872,123953,USD
Marketing,COGS,Jan 2023,130757,160116,USD
Marketing,COGS,Feb 2023,60512,68395,USD
Marketing,COGS,Mar 2023,169770,163896,USD
Marketing,COGS,Apr 2023,178722,172829,USD
Marketing,COGS,May 2023,181771,148758,USD
Marketing,COGS,Jun 2023,163635,130821,USD
Marketing,COGS,Jul 2023,112536,88019,USD
Marketing,COGS,Aug 2023,170260,172400,USD
Marketing,COGS,Sep 2023,117104,112962,USD
Marketing,COGS,Oct 2023,199562,241874,USD
Marketing,COGS,Nov 2023,119142,144961,USD
Marketing,COGS,Dec 2023,66960,53940,USD
Marketing,COGS,Jan 2024,77450,90923,USD
Marketing,COGS,Feb 2024,78159,67871,USD
Marketing,COGS,Mar 2024,185128,229324,USD
Marketing,COGS,Apr 2024,129337,152409,USD
Marketing,COGS,May 2024,105874,92741,USD
Marketing,COGS,Jun 2024,74707,88468,USD
Marketing,COGS,Jul 2024,83314,81145,USD
Marketing,COGS,Aug 2024,148872,122317,USD
Marketing,COGS,Sep 2024,150943,121583,USD
Marketing,COGS,Oct 2024,173782,152103,USD
Marketing,COGS,Nov 2024,175343,149070,USD
Marketing,COGS,Dec 2024,79332,84616,USD
Marketing,Operating Expenses,Jan 2022,72915,62258,USD
Marketing,Operating Expenses,Feb 2022,144218,123821,USD
Marketing,Operating Expenses,Mar 2022,116363,143824,USD
Marketing,Operating Expenses,Apr 2022,147687,171283,USD
Marketing,Operating Expenses,May 2022,198379,236055,USD
Marketing,Operating Expenses,Jun 2022,121189,91487,USD
Marketing,Operating Expenses,Jul 2022,108528,132722,USD
Marketing,Operating Expenses,Aug 2022,115272,97376,USD
Marketing,Operating Expenses,Sep 2022,115768,117991,USD
Marketing,Operating Expenses,Oct 2022,185493,151841,USD
Marketing,Operating Expenses,Nov 2022,87439,100684,USD
Marketing,Operating Expenses,Dec 2022,177023,141106,USD
Marketing,Operating Expenses,Jan 2023,141230,149782,USD
Marketing,Operating Expenses,Feb 2023,179635,212380,USD
Marketing,Operating Expenses,Mar 2023,184223,176904,USD
Marketing,Operating Expenses,Apr 2023,87471,72785,USD
Marketing,Operating Expenses,May 2023,135377,111397,USD
Marketing,Operating Expenses,Jun 2023,169430,156072,USD
Marketing,Operating Expenses,Jul 2023,77616,75581,USD
Marketing,Operating Expenses,Aug 2023,179767,193592,USD
Marketing,Operating Expenses,Sep 2023,183703,170854,USD
Marketing,Operating Expenses,Oct 2023,66599,70014,USD
Marketing,Operating Expenses,Nov 2023,62997,73569,USD
Marketing,Operating Expenses,Dec 2023,116358,100637,USD
Marketing,Operating Expenses,Jan 2024,84098,98577,USD
Marketing,Operating Expenses,Feb 2024,173997,140187,USD
Marketing,Operating Expenses,Mar 2024,140386,174918,USD
Marketing,Operating Expenses,Apr 2024,151818,128742,USD
Marketing,Operating Expenses,May 2024,143974,127922,USD
Marketing,Operating Expenses,Jun 2024,185586,226273,USD
Marketing,Operating Expenses,Jul 2024,91567,93220,USD
Marketing,Operating Expenses,Aug 2024,94437,72610,USD
Marketing,Operating Expenses,Sep 2024,198884,172237,USD
Marketing,Operating Expenses,Oct 2024,130335,136332,USD
Marketing,Operating Expenses,Nov 2024,60357,53347,USD
Marketing,Operating Expenses,Dec 2024,172535,136160,USD
Marketing,Other Income,Jan 2022,89730,90120,USD
Marketing,Other Income,Feb 2022,60923,53150,USD
Marketing,Other Income,Mar 2022,82202,69608,USD
Marketing,Other Income,Apr 2022,74595,78680,USD
Marketing,Other Income,May 2022,198168,150014,USD
Marketing,Other Income,Jun 2022,76949,89384,USD
Marketing,Other Income,Jul 2022,129353,116414,USD
Marketing,Other Income,Aug 2022,163770,125716,USD
Marketing,Other Income,Sep 2022,111306,117640,USD
Marketing,Other Income,Oct 2022,61326,55058,USD
Marketing,Other Income,Nov 2022,173322,215939,USD
Marketing,Other Income,Dec 2022,123600,120048,USD
Marketing,Other Income,Jan 2023,164306,135266,USD
Marketing,Other Income,Feb 2023,84030,66333,USD
Marketing,Other Income,Mar 2023,125097,155777,USD
Marketing,Other Income,Apr 2023,126640,105949,USD
Marketing,Other Income,May 2023,150015,165142,USD
Marketing,Other Income,Jun 2023,61758,50455,USD
Marketing,Other Income,Jul 2023,109839,131178,USD
Marketing,Other Income,Aug 2023,195334,163908,USD
Marketing,Other Income,Sep 2023,182605,221360,USD
Marketing,Other Income,Oct 2023,74042,63306,USD
Marketing,Other Income,Nov 2023,191391,173050,USD
Marketing,Other Income,Dec 2023,192775,153981,USD
Marketing,Other Income,Jan 2024,169503,151392,USD
Marketing,Other Income,Feb 2024,194496,236849,USD
Marketing,Other Income,Mar 2024,176645,211219,USD
Marketing,Other Income,Apr 2024,142452,124032,USD
Marketing,Other Income,May 2024,64205,50511,USD
Marketing,Other Income,Jun 2024,83440,90813,USD
Marketing,Other Income,Jul 2024,100600,109248,USD
Marketing,Other Income,Aug 2024,191720,172030,USD
Marketing,Other Income,Sep 2024,122629,131512,USD
Marketing,Other Income,Oct 2024,188877,213236,USD
Marketing,Other Income,Nov 2024,103626,126635,USD
Marketing,Other Income,Dec 2024,117952,113740,USD
R&D,Revenue,Jan 2022,444264,455580,USD
R&D,Revenue,Feb 2022,376531,332544,USD
R&D,Revenue,Mar 2022,468152,435398,USD
R&D,Revenue,Apr 2022,330548,264778,USD
R&D,Revenue,May 2022,589229,533369,USD
R&D,Revenue,Jun 2022,274411,284661,USD
R&D,Revenue,Jul 2022,529692,563069,USD
R&D,Revenue,Aug 2022,516623,544872,USD
R&D,Revenue,Sep 2022,320581,278690,USD
R&D,Revenue,Oct 2022,560404,686584,USD
R&D,Revenue,Nov 2022,584821,576526,USD
R&D,Revenue,Dec 2022,383917,316189,USD
R&D,Revenue,Jan 2023,298892,368633,USD
R&D,Revenue,Feb 2023,321299,389486,USD
R&D,Revenue,Mar 2023,569451,477898,USD
R&D,Revenue,Apr 2023,502857,593557,USD
R&D,Revenue,May 2023,262867,222520,USD
R&D,Revenue,Jun 2023,455099,440090,USD
R&D,Revenue,Jul 2023,352728,295962,USD
R&D,Revenue,Aug 2023,582701,555048,USD
R&D,Revenue,Sep 2023,395817,316606,USD
R&D,Revenue,Oct 2023,508178,598864,USD
R&D,Revenue,Nov 2023,378076,333772,USD
R&D,Revenue,Dec 2023,485607,484911,USD
R&D,Revenue,Jan 2024,596288,496199,USD
R&D,Revenue,Feb 2024,593208,488642,USD
R&D,Revenue,Mar 2024,359003,361524,USD
R&D,Revenue,Apr 2024,314190,253714,USD
R&D,Revenue,May 2024,515984,488640,USD
R&D,Revenue,Jun 2024,434029,435452,USD
R&D,Revenue,Jul 2024,388242,298800,USD
R&D,Revenue,Aug 2024,434525,500806,USD
R&D,Revenue,Sep 2024,304948,246826,USD
R&D,Revenue,Oct 2024,568155,700450,USD
R&D,Revenue,Nov 2024,275044,311142,USD
R&D,Revenue,Dec 2024,331979,324361,USD
R&D,COGS,Jan 2022,171099,130435,USD
R&D,COGS,Feb 2022,123522,146434,USD
R&D,COGS,Mar 2022,149570,171073,USD
R&D,COGS,Apr 2022,122836,153270,USD
R&D,COGS,May 2022,67840,72454,USD
R&D,COGS,Jun 2022,152115,166244,USD
R&D,COGS,Jul 2022,68306,56005,USD
R&D,COGS,Aug 2022,63266,64442,USD
R&D,COGS,Sep 2022,79635,66995,USD
R&D,COGS,Oct 2022,145516,174782,USD
R&D,COGS,Nov 2022,89138,83065,USD
R&D,COGS,Dec 2022,128135,108182,USD
R&D,COGS,Jan 2023,100082,88300,USD
R&D,COGS,Feb 2023,171470,182583,USD
R&D,COGS,Mar 2023,87652,74135,USD
R&D,COGS,Apr 2023,158620,189735,USD
R&D,COGS,May 2023,193601,204892,USD
R&D,COGS,Jun 2023,131358,120740,USD
R&D,COGS,Jul 2023,68381,75957,USD
R&D,COGS,Aug 2023,124621,114667,USD
R&D,COGS,Sep 2023,111464,120141,USD
R&D,COGS,Oct 2023,94690,115305,USD
R&D,COGS,Nov 2023,80335,99775,USD
R&D,COGS,Dec 2023,101775,84406,USD
R&D,COGS,Jan 2024,77857,66502,USD
R&D,COGS,Feb 2024,94430,91740,USD
R&D,COGS,Mar 2024,112940,98824,USD
R&D,COGS,Apr 2024,151893,176990,USD
R&D,COGS,May 2024,82774,98809,USD
R&D,COGS,Jun 2024,119242,139637,USD
R&D,COGS,Jul 2024,103145,111553,USD
R&D,COGS,Aug 2024,118879,100265,USD
R&D,COGS,Sep 2024,142658,173258,USD
R&D,COGS,Oct 2024,91854,96991,USD
R&D,COGS,Nov 2024,76526,89651,USD
R&D,COGS,Dec 2024,165651,203354,USD
R&D,Operating Expenses,Jan 2022,146712,130888,USD
R&D,Operating Expenses,Feb 2022,158162,183520,USD
R&D,Operating Expenses,Mar 2022,132864,138002,USD
R&D,Operating Expenses,Apr 2022,107668,87573,USD
R&D,Operating Expenses,May 2022,113561,87282,USD
R&D,Operating Expenses,Jun 2022,190525,214589,USD
R&D,Operating Expenses,Jul 2022,126798,126526,USD
R&D,Operating Expenses,Aug 2022,64546,64064,USD
R&D,Operating Expenses,Sep 2022,181901,191827,USD
R&D,Operating Expenses,Oct 2022,145323,170678,USD
R&D,Operating Expenses,Nov 2022,104891,112017,USD
R&D,Operating Expenses,Dec 2022,184916,229448,USD
R&D,Operating Expenses,Jan 2023,81298,76506,USD
R&D,Operating Expenses,Feb 2023,83680,64024,USD
R&D,Operating Expenses,Mar 2023,70537,88126,USD
R&D,Operating Expenses,Apr 2023,63832,50585,USD
R&D,Operating Expenses,May 2023,128681,112370,USD
R&D,Operating Expenses,Jun 2023,164123,191047,USD
R&D,Operating Expenses,Jul 2023,123505,151158,USD
R&D,Operating Expenses,Aug 2023,85809,100235,USD
R&D,Operating Expenses,Sep 2023,151263,139350,USD
R&D,Operating Expenses,Oct 2023,195458,192408,USD
R&D,Operating Expenses,Nov 2023,123476,104730,USD
R&D,Operating Expenses,Dec 2023,101727,126819,USD
R&D,Operating Expenses,Jan 2024,184285,144683,USD
R&D,Operating Expenses,Feb 2024,72498,76560,USD
R&D,Operating Expenses,Mar 2024,163417,135359,USD
R&D,Operating Expenses,Apr 2024,197302,190019,USD
R&D,Operating Expenses,May 2024,99559,112485,USD
R&D,Operating Expenses,Jun 2024,120242,107143,USD
R&D,Operating Expenses,Jul 2024,115782,141289,USD
R&D,Operating Expenses,Aug 2024,77756,87034,USD
R&D,Operating Expenses,Sep 2024,99388,82548,USD
R&D,Operating Expenses,Oct 2024,187239,206124,USD
R&D,Operating Expenses,Nov 2024,196010,186289,USD
R&D,Operating Expenses,Dec 2024,160284,152905,USD
R&D,Other Income,Jan 2022,161651,198750,USD
R&D,Other Income,Feb 2022,185829,182944,USD
R&D,Other Income,Mar 2022,196730,238024,USD
R&D,Other Income,Apr 2022,81942,93622,USD
R&D,Other Income,May 2022,190413,150102,USD
R&D,Other Income,Jun 2022,94397,72964,USD
R&D,Other Income,Jul 2022,125764,121357,USD
R&D,Other Income,Aug 2022,119217,114596,USD
R&D,Other Income,Sep 2022,167534,195860,USD
R&D,Other Income,Oct 2022,149010,146594,USD
R&D,Other Income,Nov 2022,79665,63545,USD
R&D,Other Income,Dec 2022,95101,80464,USD
R&D,Other Income,Jan 2023,108379,123834,USD
R&D,Other Income,Feb 2023,154807,159128,USD
R&D,Other Income,Mar 2023,67576,75771,USD
R&D,Other Income,Apr 2023,152880,151296,USD
R&D,Other Income,May 2023,78969,67764,USD
R&D,Other Income,Jun 2023,105321,104413,USD
R&D,Other Income,Jul 2023,92479,109067,USD
R&D,Other Income,Aug 2023,144870,175014,USD
R&D,Other Income,Sep 2023,193026,237147,USD
R&D,Other Income,Oct 2023,135458,156301,USD
R&D,Other Income,Nov 2023,92198,86536,USD
R&D,Other Income,Dec 2023,134124,130372,USD
R&D,Other Income,Jan 2024,186066,223430,USD
R&D,Other Income,Feb 2024,117941,99810,USD
R&D,Other Income,Mar 2024,165966,189986,USD
R&D,Other Income,Apr 2024,102804,99100,USD
R&D,Other Income,May 2024,143703,171347,USD
R&D,Other Income,Jun 2024,186820,230435,USD
R&D,Other Income,Jul 2024,179147,174491,USD
R&D,Other Income,Aug 2024,186186,179072,USD
R&D,Other Income,Sep 2024,129838,134135,USD
R&D,Other Income,Oct 2024,130702,136438,USD
R&D,Other Income,Nov 2024,183520,209275,USD
R&D,Other Income,Dec 2024,116464,121292,USD
Finance,Revenue,Jan 2022,392794,407455,USD
Finance,Revenue,Feb 2022,472817,378261,USD
Finance,Revenue,Mar 2022,253178,294606,USD
Finance,Revenue,Apr 2022,554583,602805,USD
Finance,Revenue,May 2022,542498,469923,USD
Finance,Revenue,Jun 2022,334880,281173,USD
Finance,Revenue,Jul 2022,405707,433424,USD
Finance,Revenue,Aug 2022,336440,419787,USD
Finance,Revenue,Sep 2022,305660,237856,USD
Finance,Revenue,Oct 2022,293627,324910,USD
Finance,Revenue,Nov 2022,464925,468741,USD
Finance,Revenue,Dec 2022,505504,594122,USD
Finance,Revenue,Jan 2023,384609,373457,USD
Finance,Revenue,Feb 2023,487919,575213,USD
Finance,Revenue,Mar 2023,441195,378726,USD
Finance,Revenue,Apr 2023,581104,593927,USD
Finance,Revenue,May 2023,489175,610624,USD
Finance,Revenue,Jun 2023,276033,220028,USD
Finance,Revenue,Jul 2023,441443,467125,USD
Finance,Revenue,Aug 2023,431533,327115,USD
Finance,Revenue,Sep 2023,300613,290129,USD
Finance,Revenue,Oct 2023,530549,402182,USD
Finance,Revenue,Nov 2023,395286,421812,USD
Finance,Revenue,Dec 2023,435968,537581,USD
Finance,Revenue,Jan 2024,256409,303602,USD
Finance,Revenue,Feb 2024,598328,744134,USD
Finance,Revenue,Mar 2024,386534,402709,USD
Finance,Revenue,Apr 2024,277167,306460,USD
Finance,Revenue,May 2024,432340,535559,USD
Finance,Revenue,Jun 2024,324057,379331,USD
Finance,Revenue,Jul 2024,488806,449747,USD
Finance,Revenue,Aug 2024,340096,345177,USD
Finance,Revenue,Sep 2024,266737,215293,USD
Finance,Revenue,Oct 2024,435808,362042,USD
Finance,Revenue,Nov 2024,275393,213366,USD
Finance,Revenue,Dec 2024,405534,360082,USD
Finance,COGS,Jan 2022,190494,224793,USD
Finance,COGS,Feb 2022,98033,95921,USD
Finance,COGS,Mar 2022,132551,149313,USD
Finance,COGS,Apr 2022,152254,159376,USD
Finance,COGS,May 2022,86401,93031,USD
Finance,COGS,Jun 2022,77072,76181,USD
Finance,COGS,Jul 2022,178737,153173,USD
Finance,COGS,Aug 2022,124563,128336,USD
Finance,COGS,Sep 2022,135508,140160,USD
Finance,COGS,Oct 2022,191753,162330,USD
Finance,COGS,Nov 2022,150537,161384,USD
Finance,COGS,Dec 2022,82941,100894,USD
Finance,COGS,Jan 2023,94247,109114,USD
Finance,COGS,Feb 2023,192420,234915,USD
Finance,COGS,Mar 2023,111531,107694,USD
Finance,COGS,Apr 2023,110993,91116,USD
Finance,COGS,May 2023,145613,143525,USD
Finance,COGS,Jun 2023,106025,127880,USD
Finance,COGS,Jul 2023,189666,154527,USD
Finance,COGS,Aug 2023,199256,248121,USD
Finance,COGS,Sep 2023,165173,180404,USD
Finance,COGS,Oct 2023,173474,202364,USD
Finance,COGS,Nov 2023,151043,156467,USD
Finance,COGS,Dec 2023,182978,213189,USD
Finance,COGS,Jan 2024,67153,74866,USD
Finance,COGS,Feb 2024,71407,76589,USD
Finance,COGS,Mar 2024,106305,85428,USD
Finance,COGS,Apr 2024,127199,156643,USD
Finance,COGS,May 2024,180278,144483,USD
Finance,COGS,Jun 2024,181608,137735,USD
Finance,COGS,Jul 2024,78404,78934,USD
Finance,COGS,Aug 2024,188288,231556,USD
Finance,COGS,Sep 2024,129724,106549,USD
Finance,COGS,Oct 2024,198956,159061,USD
Finance,COGS,Nov 2024,79615,81744,USD
Finance,COGS,Dec 2024,189876,178053,USD
Finance,Operating Expenses,Jan 2022,136668,162347,USD
Finance,Operating Expenses,Feb 2022,144862,168904,USD
Finance,Operating Expenses,Mar 2022,179987,147048,USD
Finance,Operating Expenses,Apr 2022,182401,219083,USD
Finance,Operating Expenses,May 2022,133333,140014,USD
Finance,Operating Expenses,Jun 2022,132449,100175,USD
Finance,Operating Expenses,Jul 2022,139201,160997,USD
Finance,Operating Expenses,Aug 2022,122081,120538,USD
Finance,Operating Expenses,Sep 2022,174579,173335,USD
Finance,Operating Expenses,Oct 2022,175894,192273,USD
Finance,Operating Expenses,Nov 2022,102221,82861,USD
Finance,Operating Expenses,Dec 2022,198530,214417,USD
Finance,Operating Expenses,Jan 2023,117935,114088,USD
Finance,Operating Expenses,Feb 2023,79056,78077,USD
Finance,Operating Expenses,Mar 2023,77044,74890,USD
Finance,Operating Expenses,Apr 2023,98560,85831,USD
Finance,Operating Expenses,May 2023,120002,147919,USD
Finance,Operating Expenses,Jun 2023,146403,138882,USD
Finance,Operating Expenses,Jul 2023,185341,216021,USD
Finance,Operating Expenses,Aug 2023,174934,175234,USD
Finance,Operating Expenses,Sep 2023,192519,208806,USD
Finance,Operating Expenses,Oct 2023,66363,67197,USD
Finance,Operating Expenses,Nov 2023,162466,164527,USD
Finance,Operating Expenses,Dec 2023,143154,176341,USD
Finance,Operating Expenses,Jan 2024,172783,205085,USD
Finance,Operating Expenses,Feb 2024,112669,136151,USD
Finance,Operating Expenses,Mar 2024,144017,129068,USD
Finance,Operating Expenses,Apr 2024,193105,190514,USD
Finance,Operating Expenses,May 2024,156783,182739,USD
Finance,Operating Expenses,Jun 2024,193738,177396,USD
Finance,Operating Expenses,Jul 2024,93423,105313,USD
Finance,Operating Expenses,Aug 2024,118324,103375,USD
Finance,Operating Expenses,Sep 2024,172059,177009,USD
Finance,Operating Expenses,Oct 2024,65398,73475,USD
Finance,Operating Expenses,Nov 2024,136697,164657,USD
Finance,Operating Expenses,Dec 2024,124493,151394,USD
Finance,Other Income,Jan 2022,155515,155051,USD
Finance,Other Income,Feb 2022,159222,174011,USD
Finance,Other Income,Mar 2022,69916,61395,USD
Finance,Other Income,Apr 2022,179221,173575,USD
